timestamp,x,y,z
605905702,0.77,-2.03,-1.96
605905706,0.245,-2.52,-2.03
605905711,-0.385,-2.625,-1.96
605905715,-0.77,-2.73,-2.1
605905720,-1.12,-3.15,-2.1
605905725,-1.82,-3.675,-2.03
605905729,-1.925,-4.095,-1.925
605905734,-1.61,-4.34,-1.715
605905740,-1.12,-4.2,-1.645
605905744,-0.665,-3.815,-1.26
605905749,-0.42000002,-3.815,-0.945
605905754,-0.42000002,-3.78,-0.525
605905759,-0.525,-3.605,-0.175
605905763,-0.245,-3.115,0.245
605905768,-0.105000004,-2.975,0.21000001
605905773,-0.455,-3.465,0.28
605905777,-0.7,-3.7450001,-0.035
605905781,-0.245,-3.675,-0.105000004
605905786,0.805,-3.15,-0.175
605905790,1.365,-2.135,-0.035
605905795,1.645,-1.155,-0.28
605905800,1.995,-0.665,-0.49
605905804,2.135,0.035,-0.63
605905809,1.995,0.49,-0.77
605905814,0.98,0.35,-0.875
605905818,-0.455,0.105000004,-1.19
605905823,-1.75,-0.21000001,-1.4
605905827,-2.695,-0.56,-1.6800001
605905832,-3.5,-0.665,-2.31
605905837,-4.34,-0.665,-2.765
605905841,-5.075,-0.385,-2.94
605905846,-5.635,0.175,-2.905
605905852,-6.37,0.875,-2.835
605905856,-7.245,1.365,-2.8
605905861,-7.945,1.89,-2.73
605905866,-8.54,2.1,-2.695
605905871,-9.45,1.96,-2.975
605905875,-10.395,1.575,-3.185
605905880,-11.445,1.4350001,-3.29
605905885,-12.495,1.085,-3.5
605905889,-13.615,0.56,-3.675
605905893,-14.805,-0.105000004,-3.78
605905898,-15.8550005,-0.455,-3.7450001
605905902,-16.485,-0.56,-3.57
605905907,-16.45,-0.315,-3.325
605905912,-16.555,0.0,-2.905
605905916,-16.135,0.735,-2.38
605905921,-15.4,1.61,-1.645
605905926,-14.315001,2.485,-0.945
605905930,-13.2300005,3.325,-0.42000002
605905935,-12.495,4.235,-0.175
605905939,-11.9,4.62,0.0
605905944,-11.62,4.69,-0.28
605905949,-11.725,4.69,-0.665
605905953,-11.725,5.005,-0.945
605905958,-11.865,4.935,-1.015
605905963,-12.04,4.375,-1.295
605905967,-12.075,3.92,-1.575
605905972,-11.865,4.095,-1.715
605905976,-11.235,4.165,-1.715
605905981,-10.185,4.235,-1.715
605905986,-9.205,4.095,-1.855
605905990,-8.05,4.165,-1.96
605905995,-6.65,4.305,-1.785
605906001,-5.285,4.62,-1.33
605906005,-3.99,4.8650002,-0.805
605906010,-3.115,4.69,-0.49
605906015,-2.625,4.235,-0.21000001
605906020,-2.24,4.025,0.21000001
605906024,-1.75,3.3600001,0.21000001
605906029,-1.365,2.905,0.21000001
605906034,-1.19,2.205,0.14
605906039,-1.05,1.645,0.0
605906043,-0.875,1.26,0.0
605906048,-0.875,1.365,-0.175
605906053,-1.19,0.875,-0.42000002
605906058,-1.47,0.07,-0.945
605906062,-1.995,-0.91,-1.225
605906067,-2.8700001,-1.995,-1.365
605906072,-3.99,-3.045,-1.575
605906076,-4.97,-4.13,-1.82
605906080,-5.32,-4.97,-1.96
605906085,-5.53,-5.215,-1.89
605906089,-5.6,-5.285,-1.89
605906094,-5.7400002,-5.495,-2.24
605906099,-6.09,-5.915,-2.38
605906103,-6.65,-5.845,-2.555
605906108,-6.7200003,-5.495,-2.555
605906114,-6.09,-5.6,-2.415
605906118,-5.635,-5.565,-2.065
605906123,-4.655,-5.67,-1.645
605906128,-3.64,-6.02,-1.155
605906133,-2.38,-6.02,-0.63
605906137,-1.085,-5.985,-0.28
605906142,0.245,-6.755,-0.385
605906147,1.89,-7.7,-0.28
605906151,4.095,-8.575,-0.385
605906155,6.055,-9.7300005,-0.455
605906160,7.7,-11.2,-0.63
605906164,9.065,-12.6,-1.085
605906169,10.115,-14.1050005,-1.505
605906174,11.375,-15.435,-1.75
605906178,12.635,-16.345,-1.89
605906183,13.475,-17.325,-2.24
605906188,14.035,-18.375,-2.345
